model	mae_delta	mae_ccsd	weighted_mae_ccsd	tail_mae_ccsd	n_tail
GBR	0.0004922354	0.0004922354	0.0004081980	0.0003189731	9
SVR	0.0002455147	0.0002455147	0.0002134930	0.0001794946	9
GPR	0.0007143821	0.0007143821	0.0006769547	0.0006372169	9
