dataset_row	predicted_ccsd	xyz_path
5192	-964.4268638301	Structures/structure5192.xyz
5200	-964.4268551058	Structures/structure5200.xyz
5247	-964.4268529264	Structures/structure5247.xyz
5305	-964.4268570465	Structures/structure5305.xyz
5323	-964.4268562609	Structures/structure5323.xyz
5333	-964.4268586202	Structures/structure5333.xyz
5358	-964.4268666034	Structures/structure5358.xyz
5364	-964.4268426496	Structures/structure5364.xyz
5391	-964.4268647130	Structures/structure5391.xyz
5439	-964.4268562813	Structures/structure5439.xyz
5492	-964.4268742314	Structures/structure5492.xyz
