dataset_row	predicted_ccsd	xyz_path
4428	-15801.7175218135	Structures/structure4428.xyz
4516	-15801.7175243757	Structures/structure4516.xyz
4633	-15801.7175228718	Structures/structure4633.xyz
4685	-15801.7175227631	Structures/structure4685.xyz
4713	-15801.7175217778	Structures/structure4713.xyz
4730	-15801.7175227051	Structures/structure4730.xyz
4839	-15801.7175217515	Structures/structure4839.xyz
4855	-15801.7175222550	Structures/structure4855.xyz
4865	-15801.7175221935	Structures/structure4865.xyz
4974	-15801.7175226592	Structures/structure4974.xyz
5039	-15801.7175229277	Structures/structure5039.xyz
5090	-15801.7175212155	Structures/structure5090.xyz
5122	-15801.7175218340	Structures/structure5122.xyz
5137	-15801.7175217151	Structures/structure5137.xyz
5165	-15801.7175230609	Structures/structure5165.xyz
5203	-15801.7175225007	Structures/structure5203.xyz
5231	-15801.7175225316	Structures/structure5231.xyz
5243	-15801.7175205952	Structures/structure5243.xyz
5258	-15801.7175230127	Structures/structure5258.xyz
5468	-15801.7175207311	Structures/structure5468.xyz
5554	-15801.7175217916	Structures/structure5554.xyz
